timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567531796231,344,login606 /o/oauth2/auth,200,OK,Thread Group 1-1,text,true,,1889,794,1,1,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Fqa.noomis.febraban.org.br%3Fid%3Dauth137192&response_type=permission%20id_token&scope=email%20profile%20openid&openid.realm=&client_id=953908925017-ilqp35g5tprmclouve4aa88h33qb0olv.apps.googleusercontent.com&ss_domain=https%3A%2F%2Fqa.noomis.febraban.org.br&fetch_basic_profile=true&gsiwebsdk=2,343,0,224
1567531796988,1158,login608 /accounts/CheckConnection,200,OK,Thread Group 1-1,text,true,,12385,911,1,1,https://accounts.youtube.com/accounts/CheckConnection?pmpo=https%3A%2F%2Faccounts.google.com&v=-1471234930&timestamp=1567434549631,1126,0,809
1567531798147,181,login630 /o/oauth2/iframerpc,200,OK,Thread Group 1-1,text,true,,643,802,1,1,https://accounts.google.com/o/oauth2/iframerpc?action=issueToken&response_type=token%20id_token&login_hint=AJDLj6ITFJsmFe44FvXmOHTDy-LHHRA3OvDj6yLqUylJoL-SE_aj1mWTcug4hzjE6CCvEq8H2UIEC07EkOpJ2WSGItHG1NXrUrBzGA-kwrdGF4o2fTGiKdU&client_id=953908925017-ilqp35g5tprmclouve4aa88h33qb0olv.apps.googleusercontent.com&origin=https%3A%2F%2Fqa.noomis.febraban.org.br&scope=openid%20profile%20email&ss_domain=https%3A%2F%2Fqa.noomis.febraban.org.br,172,0,0
1567531798328,378,login632 /qa/auth/signupwithgoogle,200,OK,Thread Group 1-1,text,true,,744,457,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/signupwithgoogle,378,0,182
1567531798706,174,login634 /qa/auth/user,200,OK,Thread Group 1-1,text,true,,743,445,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/user,174,0,0
1567531798881,338,login636 /qa/auth/user,200,OK,Thread Group 1-1,text,true,,2331,733,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/user,338,0,0
1567531799220,718,login637 /home,304,Not Modified,Thread Group 1-1,text,true,,651,468,1,1,https://qa.noomis.febraban.org.br/home,0,0,160
1567531799939,317,login657 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,410,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,317,0,0
1567531800257,200,login658 /qa/content?size=4&page=1&order=spotlight,200,OK,Thread Group 1-1,text,true,,743,499,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,200,0,0
1567531800458,238,login667 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1157,459,1,1,https://accounts.google.com/o/oauth2/iframe,235,0,124
1567531800697,383,login661 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,743,495,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,383,0,192
1567531801081,493,login659 /qa/author/getspecialistscard?qty=4,200,OK,Thread Group 1-1,text,true,,743,493,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,493,0,0
1567531801575,205,login662 /qa/content?size=4&page=1&order=trend,200,OK,Thread Group 1-1,text,true,,743,495,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,205,0,0
1567531801781,298,login660 /qa/content?size=4&page=1&order=recent,200,OK,Thread Group 1-1,text,true,,743,496,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,298,0,0
1567531802080,215,login670 /qa/content?size=1&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,517,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,215,0,0
1567531802296,516,log680 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,4619,781,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,515,0,0
1567531802812,349,log678 /qa/content?size=2&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,517,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,349,0,171
1567531803162,355,log679 /qa/content,200,OK,Thread Group 1-1,text,true,,16640,787,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,355,0,0
1567531803518,517,log681 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,6180,783,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,517,0,0
1567531804036,719,log682 /qa/content,200,OK,Thread Group 1-1,text,true,,14839,784,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,719,0,0
1567531804756,710,loged688 /qa/content,200,OK,Thread Group 1-1,text,true,,26384,783,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,709,0,0
1567531805467,643,loged690 /qa/content,200,OK,Thread Group 1-1,text,true,,2587,805,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,643,0,189
1567531806111,428,loged693 /qa/content?size=1&page=1&order=recent&type=magazine,200,OK,Thread Group 1-1,text,true,,743,510,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,428,0,0
1567531806539,226,loged697 /qa/content,200,OK,Thread Group 1-1,text,true,,7973,805,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,226,0,0
